form	match_type	count	candidate_lemmas	sample_context	resolved_lemma	confidence	note
czigenpok	unmatched	3		vnd der czigenpok die ł			
hurheit	unmatched	3		gib zu hurheit LEUITICUS dein			
schŏffil	unmatched	3		ein gerechter schŏffil vnd ein			
vnkeuschte	unmatched	3		das her vnkeuschte von seinem			
begangen;	unmatched	3		haben sie begangen; ir blut			
vnczimlichkeit	unmatched	3		habn sie vnczimlichkeit begangen; des			
herren;	unmatched	3		haben vnserm herren; an dem			
kv	unmatched	3		Aber die kv oder das			
ousgenomenlich	unmatched	3		yclichen tages ousgenomenlich der veier			
povmen	unmatched	3		vnd von povmen este dicker			
pechen	unmatched	3		von den pechen Und vrewet			
gewechsilt	unmatched	3		werden sie gewechsilt vor vnserm			
leiden	ambiguous	3	lemma_3684|lemma_3691|lemma_3730	betwungen zu leiden Wer ein			
geczihet	unmatched	3		ir ein geczihet in die			
besneide	unmatched	3		sechs iar besneide deinen weingarten			
weinlesen	unmatched	3		clouben als weinlesen wenne das			
nevkvmen	unmatched	3		Und dem nevkvmen der do			
vreiunge	unmatched	3		iar der vreiunge vnd das			
betrube	unmatched	3		im nicht betrube deinen bruder			
vorchtende	unmatched	3		der setunge vorchtende keines gepot			
Ŭmme	unmatched	3		selen vorczern Ŭmme sust werdet			
eiserein	unmatched	3		recht sam eiserein vnd die			
mans	ambiguous	3	lemma_3957|lemma_8552|lemma_8554	so vorkoufe mans einem andern			
pŏse	unmatched	3		noch das pŏse noch mit			
Wenn̆	unmatched	3		werden die Wenn̆ meyn ist			
seil	ambiguous	3	lemma_5349|lemma_5376	gehŏret die seil des geczeldis			
magschafte	unmatched	3		gerete Die magschafte wir haben			
vberdecke	unmatched	3		legen ein vberdecke iacincteiner heute			
reiczet	unmatched	3		des hasses reiczet den man			
vorvluchte	unmatched	3		mit vorbannen vorvluchte hat gesamment			
vorvluchet	unmatched	3		die ich vorvluchet gehouffent Ist			
nazareers	unmatched	3		hende des nazareers noch dem			
czehn	unmatched	3		morserl wegende czehn scot voller			
madianiten	unmatched	3		svne dem madianiten seinem neuen			
purde	ambiguous	3	lemma_14411|lemma_924	gelegt die purde alles dises			
werklichen	unmatched	3		mein rede werklichen wirt erfullet			
weissaget	unmatched	3		alles volk weissaget vnd vnser			
trevme	unmatched	3		oder durch trevme rede ich			
vorgienk	unmatched	3		die wolken vorgienk die do			
solde	ambiguous	3	lemma_5051|lemma_5608|lemma_5609	ir antlicze solde sie nicht			
gemowert	unmatched	3		die stete gemowert oder ane			
spehten	unmatched	3		do durch spehten sie die			
veigen	ambiguous	3	lemma_6786|lemma_6787	vnd von veigen der selben			
gemowerte	unmatched	3		stete vnd gemowerte Das geslechte			
vleuset	unmatched	3		die do vleuset mit milch			
helle	ambiguous	3	lemma_2734|lemma_2741	in die helle so wisset			
gepeine	unmatched	3		oder sein gepeine oder sein			
Gesvndigt	unmatched	3		vnd sprachen Gesvndigt hab wir			
We	ambiguous	3	lemma_5961|lemma_7427|lemma_7608	woner der We dir Uorgangen			
vorderbnusse	unmatched	3		zu der vorderbnusse vnd besasen			
gekvndigt	unmatched	3		hatten im gekvndigt alle wort			
enge	ambiguous	3	lemma_1409|lemma_8118	in einer enge czweier mowern			
eusristen	unmatched	3		in den eusristen enden seines			
orientischen	unmatched	3		von den orientischen pergen Kvm			
hubeln	unmatched	3		vnd von hubeln werde ich			
erhaben	ambiguous	3	lemma_1571|lemma_68308	wasser Ouf erhaben wirt durch			
vluchen	unmatched	3		sprach Czu vluchen meinen veinden			
erstgeporne	unmatched	3		ist der erstgeporne Des svn			
vorgeende	unmatched	3		das ł vorgeende seine kinder			
vierczik	unmatched	3		czal was vierczik tousent funf			
gegeen	unmatched	3		do mag gegeen durch die			
funfczik	unmatched	3		hundert vnd funfczik scot Wenne			
vnmesliche	unmatched	3		sie ein vnmesliche habe Und			
vorspehen	unmatched	3		NUM zu vorspehen die erde			
vnderworfen	unmatched	3		erde wirt vnderworfen gebt in			
legirten	unmatched	3		sie vnd legirten sich zu			
ienen	ambiguous	3	lemma_3039|lemma_3114	NUM ich ienen hatte gedacht			
wollende	unmatched	3		der nicht wollende blut vorgeusset			
anderweidunge	unmatched	3		buch der anderweidunge der e			
veldis	unmatched	3		steten des veldis die in			
؞	unmatched	3		mag nicht ؞ toho ؞			
vnderscheide	unmatched	3		pilgereim kein vnderscheide sol an			
vortilgten	unmatched	3		von vnd vortilgten vnd wonten			
gesnicztes	unmatched	3		machet ein gesnicztes gleichnusse oder			
gepflanczet	unmatched	3		nicht hast gepflanczet vnd wirst			
vorgessest	unmatched	3		du icht vorgessest deines herren			
wilde	ambiguous	3	lemma_11955|lemma_7615|lemma_7627	opfern sam wilde czigen vnd			
gegnoten	unmatched	3		in deinen gegnoten die czehenden			
enkennest	unmatched	3		du nicht enkennest N Nicht			
dorv̆mme	unmatched	3		die klaen dorv̆mme vnrein werden			
lesest	unmatched	3		sie vrei lesest geen wenne			
pŏsen	unmatched	3		ansprecher der pŏsen geiste Noch			
vornemen	unmatched	3		mag ich vornemen das wort			
vberkerunge	unmatched	3		besagende vmme vberkerunge sten werden			
vortrewet	unmatched	3		der im vortrewet hat ein			
powe	unmatched	3		abe vnd powe hantwerk vncz			
Slahe	ambiguous	3	lemma_5523|lemma_5525	vor vrlouge Slahe dich got			
vortregt	unmatched	3		der nicht vortregt ł den			
Geczeugen	unmatched	3		zu besiczen Geczeugen rufe ich			
Creftige	unmatched	3		allem volke Creftige dich vnd			
erschrik	unmatched	3		dich noch erschrik Und also			
hoe	ambiguous	3	lemma_2866|lemma_2881	ouf die hoe erde so			
geiaget	unmatched	3		einer hat geiaget tousent vnd			
steigende	unmatched	3		Den ouf steigende wirstu gefuget			
streitender	unmatched	3		tousent ł streitender durch ire			
ŏstnischen	unmatched	3		gegen dem ŏstnischen teile der			
busovnten	unmatched	3		siben busovnen busovnten vor der			
vlihende	unmatched	3		die rucke vlihende Und wurden			
holes	unmatched	3		mvnt des holes vnd seczet			
gegint	unmatched	3		liget der gegint asedoth vncz			
czevhet	unmatched	3		von danne czevhet es zu			
nydristen	unmatched	3		creissen der nydristen vnd Und			
sinnen	ambiguous	2	lemma_5484|lemma_5491	vnd von sinnen bit bit			
bit	ambiguous	2	lemma_10651|lemma_4172|lemma_687|lemma_722	von sinnen bit bit keiner			
sinne	ambiguous	2	lemma_5432|lemma_5484|lemma_5491	Das mein sinne durchfeuchte Und			
entsliesse	unmatched	2		Und mir entsliesse meinen mvnt			
vorlihen	unmatched	2		mir Hast vorlihen brenge dir			
vromen	ambiguous	2	lemma_7274|lemma_7275|lemma_7276	abenttewer Dem vromen herren der			
muze	ambiguous	2	lemma_4226|lemma_4238	do mite muze beiagen Der			
selden	ambiguous	2	lemma_5051|lemma_5387	Der ewigen selden hort Vreude			
intrewen	unmatched	2		sich lest intrewen schowen zu			
geleit	ambiguous	2	lemma_2057|lemma_3674|lemma_3692	selbir dein geleit Wenn wir			
Uinden	unmatched	2		keinen Buchen Uinden keiner minne			
minne	ambiguous	2	lemma_4130|lemma_4133	Uinden keiner minne funken Und			
namens	ambiguous	2	lemma_13117|lemma_4306	des heiligen namens volleist Uater			
sase	unmatched	2		in gleicher sase Bawen des			
bekvmmert	unmatched	2		do mit bekvmmert wesen Das			
anevanck	unmatched	2		der werlde anevanck Uon dem			
gegenwurticheit	unmatched	2		Mit seiner gegenwurticheit getrost Gespracht			
IN	ambiguous	2	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	mit sulchen IN principio creauit			
est	ambiguous	2	lemma_9387|lemma_9472	Et facta est lux Et			
grunende	unmatched	2		die erde grunende wurcze vnd			
machende	unmatched	2		wurcze vnd machende samen Und			
saczste	unmatched	2		stern vnd saczste sie an			
gevŏgeln	unmatched	2		vnd den gevŏgeln des himels			
gevogeln	unmatched	2		vnd den gevogeln des himels			
wechst	unmatched	2		das golt wechst Vnd das			
Is	ambiguous	2	lemma_1762|lemma_2979|lemma_5432	der sprach Is ist nicht			
formte	unmatched	2		herre dorumbe formte alle tyre			
erkanten	ambiguous	2	lemma_1585|lemma_70829	sie sich erkanten das si			
habist	unmatched	2		seist du habist denne von			
Meren	ambiguous	2	lemma_3922|lemma_4034|lemma_4035	sprach er Meren wil ich			
Uorfluchet	unmatched	2		soldest essen Uorfluchet sei die			
lebendingen	unmatched	2		was aller lebendingen Und got			
vorfluchet	unmatched	2		nv wirstu vorfluchet auf der			
vorfluchtig	unmatched	2		irre vnd vorfluchtig vf der			
Hŏrt	unmatched	2		vnd zu Hŏrt meine stimme			
nevnczick	unmatched	2		funf und nevnczick iar vnd			
czweinczick	unmatched	2		tage werden czweinczick vnd hundert			
hŏlczern	unmatched	2		ł gefugen hŏlczern wonunglein mache			
gienck	unmatched	2		Und ein gienck ł vnd			
hundersten	unmatched	2		Im sechs hundersten iare des			
grossen	ambiguous	2	lemma_2534|lemma_2535|lemma_31392	brvnne der grossen abgrunde vnd			
gevŏgil	unmatched	2		vnd alles gevŏgil ein giengen			
vorslos	unmatched	2		vnser herre vorslos in dorinne			
czweinczigsten	unmatched	2		siben vnd czweinczigsten tage des			
krichent	unmatched	2		die do krichent auf der			
enczvntes	unmatched	2		opferte gancz enczvntes opfer auf			
svmer	unmatched	2		vnd wirme svmer vnd winter			
ruen	ambiguous	2	lemma_5030|lemma_5035	nicht sullen ruen Und got			
pflanczte	unmatched	2		erde vnd pflanczte einen weingarten			
bedackten	unmatched	2		hinderwert vnd bedackten ires vaters			
cap̄	unmatched	2		kinder X cap̄ GENE vnd			
kuntscheften	unmatched	2		noch iren kuntscheften vnd czungen			
velt	ambiguous	2	lemma_6741|lemma_6797	sie ein velt in der			
vorneme	unmatched	2		yclicher nicht vorneme die czunge			
geperung	unmatched	2		sint die geperung geperte vnd			
snvre	unmatched	2		vnd sein snvre die hausvrow			
sibenczic	unmatched	2		funf vnd sibenczic iar alt			
waz	ambiguous	2	lemma_5941|lemma_7343|lemma_7505	iar alt waz do er			
vnderganck	unmatched	2		svnnen ł vnderganck vnd die			
kunt	ambiguous	2	lemma_3400|lemma_3503|lemma_3538|lemma_3542	nicht GENE kunt getan das			
dir;	unmatched	2		ist vor dir; czeuch von			
czuden	unmatched	2		vnd gen czuden gen ŏsten			
wiltnusse	unmatched	2		in der wiltnusse Und karten			
kundigte	unmatched	2		entran vnd kundigte ł das			
achtczehen	unmatched	2		drihundert vnd achtczehen vnd czoch			
hŏhsten	unmatched	2		priester des hŏhsten gotis vnd			
hŏchste	unmatched	2		sei der hŏchste der do			
wiert	ambiguous	2	lemma_7489|lemma_7652	im Also wiert dein same			
Uorware	unmatched	2		vierhundert iare Uorware ydoch das			
pete	ambiguous	2	lemma_615|lemma_722	do irr pete gehengte do			
gehengte	unmatched	2		irr pete gehengte do brachte			
czymt	unmatched	2		als wol czymt Und dorumbe			
eynot	unmatched	2		in der eynot der do			
gekouften	unmatched	2		als die gekouften vnd die			
Tu	ambiguous	2	lemma_1242|lemma_6301	sie sprachen Tu als du			
volvarnes	unmatched	2		vnd wol volvarnes alders Und			
gebiten	ambiguous	2	lemma_1969|lemma_1975	das er gebiten wirt seinen			
herous	unmatched	2		fur ich herous zu euch			
beschuczunge	unmatched	2		schaten meiner beschuczunge Und sie			
vrteiln	unmatched	2		nv soltu vrteiln Dorumb dich			
slussen	unmatched	2		ein vnd slussen die tur			
sune	ambiguous	2	lemma_5863|lemma_5883|lemma_5899	keinen oder sune oder tŏchter			
samt	ambiguous	2	lemma_5089|lemma_5090	icht mit samt in vorterbest			
wenick	unmatched	2		sie nicht wenick so nv			
gebete	ambiguous	2	lemma_1961|lemma_1965|lemma_1975	enpfangen dein gebete also das			
berge	ambiguous	2	lemma_521|lemma_522|lemma_528	ouf einem berge vnd sein			
pilgereimte	unmatched	2		vnd vnd pilgereimte hin zu			
voderte	unmatched	2		aber ous voderte er vnd			
czuhest	unmatched	2		du hin czuhest so gedencke			
beuche	unmatched	2		vorslossen alle beuche des houses			
besuchte	unmatched	2		vnser herre besuchte als er			
hŏrende	unmatched	2		sie Welcher hŏrende geloubte des			
wuchse	unmatched	2		im der wuchse vnd bleib			
hermeister	unmatched	2		vnd sein hermeister zu Got			
walt	ambiguous	2	lemma_7376|lemma_7377	pflanczte einen walt zu vnd			
bovman	unmatched	2		- ESIS bovman der philistischen			
satilte	unmatched	2		nacht vnd satilte seinen esil			
hornern	unmatched	2		mit den hornern den nam			
slafweip	unmatched	2		bruder Sein slafweip vorwar die			
horche	unmatched	2		svnder mer horche das ich			
iuncvrow̆	unmatched	2		ein schŏne iuncvrow̆ SIS vnd			
wugen	unmatched	2		ŏrringe die wugen czwei scot			
weg	ambiguous	2	lemma_7431|lemma_7439	richten deinen weg vnd wirst			
iuncvrow	unmatched	2		vnd die iuncvrow die do			
housvrow̆	unmatched	2		sei ein housvrow̆ deines herren			
mvter	unmatched	2		vnd irr mvter gab her			
Laset	unmatched	2		vnd sprach Laset mich das			
wille	ambiguous	2	lemma_10539|lemma_18852|lemma_7473|lemma_7620	sei ir wille Und do			
verren	ambiguous	2	lemma_6913|lemma_6916	er von verren komen die			
slafvrowen	unmatched	2		kindern der slafvrowen gabe er			
gesament	ambiguous	2	lemma_5089|lemma_5090	vnd wart gesament czu seinem			
vormochte	unmatched	2		iare vnd vormochte sich nicht			
wor	ambiguous	2	lemma_7325|lemma_7338|lemma_7505	tig was wor czu ist			
versen	ambiguous	2	lemma_22004|lemma_9746	hatte die versen seines bruders			
VI	ambiguous	2	lemma_13826|lemma_15700	gepurt XX VI CAPITULUM nu			
kvmlingen	unmatched	2		deynen noch kvmlingen alle dise			
vorwente	unmatched	2		housvrowen vnd vorwente sich das			
eczliche	unmatched	2		vorgangen waren eczliche tage vnd			
mŏchte	unmatched	2		getan Es mŏchte yemant ous			
kriegen	ambiguous	2	lemma_3462|lemma_3465	wurden sie kriegen vnd den			
gevehest	unmatched	2		dem geieide gevehest so mache			
wene	ambiguous	2	lemma_7355|lemma_7480	das er wene das ich			
heime	ambiguous	2	lemma_2712|lemma_9419	ir do heime hette das			
bedackte	unmatched	2		des halses bedackte sie im			
getrug	unmatched	2		die ein getrug zu dem			
vollen	ambiguous	2	lemma_24577|lemma_7163	ruch eines vollen ackers Dem			
dy	ambiguous	2	lemma_1139|lemma_1242	dir Vnd dy leute dynen			
vorvlucht	unmatched	2		der sei vorvlucht Der dir			
vordrungen	unmatched	2		geheissen wenne vordrungen hat er			
nymt	unmatched	2		eyn housvrowe nymt von dem			
tŏch	unmatched	2		von den tŏch XXVIII GENE			
brufte	unmatched	2		gegen do brufte er das			
erfulle	unmatched	2		bis ich erfulle alles das			
wost	unmatched	2		vnd ich wost sein nicht			
ey	ambiguous	2	lemma_104|lemma_1324	Und erschrack ey wie vorchtlich			
treibe	unmatched	2		schaf ein treibe zu den			
gebrouchte	unmatched	2		do er gebrouchte der begirlichen			
mugende	ambiguous	2	lemma_4240|lemma_71549	gegen ir mugende vnd nante			
weisest	unmatched	2		antworte Du weisest wol wie			
gestreifter	unmatched	2		mancherlei vnd gestreifter wolle sint			
hitcze	unmatched	2		in der hitcze irr vormischunge			
gewandilt	unmatched	2		lon czehenstunt gewandilt Und got			
vorstoln	unmatched	2		die gŏte vorstoln Und also			
vor menige	unmatched	2		meres der vor menige nicht mag			
wes	ambiguous	2	lemma_5941|lemma_5961	ł vnd wes ist das			
senftmutigen	unmatched	2		in nv senftmutigen mit gabe			
ader	ambiguous	2	lemma_4470|lemma_5	im die ader seiner hufe			
vordorte	unmatched	2		zu hant vordorte sie im			
rŏte	unmatched	2		die morgen rŏte Und antworte			
funde	ambiguous	2	lemma_1834|lemma_7081|lemma_7313	ich gnade funde vor meinem			
Czihe	unmatched	2		einem tage Czihe vor mir			
stakte	unmatched	2		hous vnd stakte seine geczelt			
vordrukte	unmatched	2		mit gewalde vordrukte er die			
wortig	unmatched	2		nicht gegen wortig svnder sie			
maitumes	unmatched	2		hette irs maitumes die tochter			
vnbesniten	unmatched	2		swester einem vnbesniten menschen das			
bouleute	unmatched	2		vnd bedarf bouleute Ire tŏchter			
gehenge	unmatched	2		dem einem gehenge wir in			
hurn	unmatched	2		sam einer hurn vnser swester			
iN	ambiguous	2	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	vnser swester iN der weile			
hebamme	unmatched	2		sprach die hebamme Nicht vŏrchte			
czwelfe	unmatched	2		kinder warn czwelfe Die kinder			
horren	unmatched	2		svne des horren des †lantmannes†			
Hŏret	unmatched	2		zu in Hŏret meinen trovm			
hŏrn	unmatched	2		hab sie hŏrn sprechende Gee			
seyne	ambiguous	2	lemma_1517|lemma_19022|lemma_5432	im vromen seyne ł trovme			
vorgiessen	unmatched	2		sele noch vorgiessen sein blut			
vorkouften	unmatched	2		den koufleuten vorkouften sie in			
trost	ambiguous	2	lemma_6221|lemma_6223	wold nicht trost nemen sunder			
geselle	ambiguous	2	lemma_2213|lemma_2216	slafen vnd geselle dich ir			
gebrouchest	unmatched	2		das du gebrouchest meines beislafens			
span	ambiguous	2	lemma_5628|lemma_5678	das achsil span vnd der			
hant;	unmatched	2		ir die hant; an die			
herrens	unmatched	2		house seines herrens der wol			
bŏsen	unmatched	2		gehengen den bŏsen vnczimlichen wercken			
werte	ambiguous	2	lemma_2343|lemma_7496|lemma_7500	vnd diser werte sich des			
schicken	ambiguous	2	lemma_18448|lemma_5231	heimliches zu schicken vnd iene			
ynne	unmatched	2		ge vangen ynne hutte Und			
hilt	ambiguous	2	lemma_2629|lemma_2753|lemma_2826	die man hilt in der			
weinstok	unmatched	2		mir einen weinstok an dem			
kŏrbe	unmatched	2		hette drei kŏrbe meles ouf			
ouslegers	unmatched	2		das des ouslegers warheit wurde			
vrasen	unmatched	2		ochsen die vrasen gene siben			
dvnner	unmatched	2		halm gar dvnner vnd mit			
wisen	ambiguous	2	lemma_7537|lemma_7538|lemma_7540|lemma_7549|lemma_7659	zu den wisen vnd hies			
veistes	unmatched	2		vnd vbir veistes vleisches die			
vrassen	unmatched	2		gesehen die vrassen die vordersten			
vordersten	unmatched	2		vrassen die vordersten vnd gaben			
vordrukt	unmatched	2		dem slafe vordrukt vnd sach			
fruchtbercheit	unmatched	2		mit groser fruchtbercheit kvmen in			
scheunen	unmatched	2		in die scheunen Und alles			
wŏsten	unmatched	2		knyten vnd wŏsten in einen			
fruchtberkeit	unmatched	2		quam die fruchtberkeit der siben			
schevnen	unmatched	2		in die schevnen Ouch alle			
sande	ambiguous	2	lemma_18884|lemma_5107|lemma_5396	sie dem sande des meres			
vare	ambiguous	2	lemma_6726|lemma_6727|lemma_6761	vbils wider vare an dem			
gebetet	unmatched	2		heten an gebetet recht als			
gedenkken	unmatched	2		diener noch gedenkken nichtesnicht vbels			
sak	ambiguous	2	lemma_5045|lemma_5046	in den sak vnd geben			
czwiualdiges	unmatched	2		mandelfrucht Und czwiualdiges gelt tragt			
Fried	unmatched	2		schaffer antworte Fried sei euch			
minster	unmatched	2		das ewer minster bruder von			
enthilt	unmatched	2		fur vnd enthilt sich vnd			
Leget	ambiguous	2	lemma_3674|lemma_3770	vnd sprach Leget ouf brot			
hebreern	unmatched	2		mit den hebreern vnd vorworffen			
silbereinen	unmatched	2		Aber meinen silbereinen pecher Vnd			
czurissen	unmatched	2		Und gene czurissen ir gewant			
luden	ambiguous	2	lemma_3573|lemma_3806|lemma_3807	gewant vnd luden di secke			
weissagunge	unmatched	2		kunst der weissagunge Czu dem			
amplik	unmatched	2		ir mein amplik nicht Do			
gemute	ambiguous	2	lemma_2107|lemma_2108	an des gemute Und sicht			
erkenten	unmatched	2		ein ander erkenten Nu hub			
kvne	unmatched	2		wurden sie kvne zu reden			
orden	ambiguous	2	lemma_4495|lemma_4496	aller sache orden Und do			
chananitidis	unmatched	2		vrowen svn chananitidis Die svne			
abczihen	unmatched	2		Ich wil abczihen vnd wil			
Man	ambiguous	2	lemma_3909|lemma_3957|lemma_3958|lemma_3966	antworte im Man hirten sei			
heisest	unmatched	2		du vns heisest sein deine			
beseet	unmatched	2		samen vnd beseet ewer eckir			
Fur	ambiguous	2	lemma_6761|lemma_7108|lemma_7194|lemma_7283|lemma_7292	disem lande Fur sie her			
vorwandilte	unmatched	2		was Und vorwandilte die hende			
czukvnftig	unmatched	2		was euch czukvnftig ist in			
nes	unmatched	2		dei SIS nes vaters Du			
siczende	unmatched	2		starker esil siczende czwischen den			
clahen	unmatched	2		beissende die clahen des rosses			
valle	ambiguous	2	lemma_6733|lemma_6741	ouf steiger valle hinder sich			
wachsender	unmatched	2		schone Ein wachsender svn ein			
hubel	unmatched	2		der ewigen hubel Es werden			
schindunge	unmatched	2		her die schindunge Alle dise			
etheer	unmatched	2		von dem etheer zu eyner			
gewurczet	unmatched	2		leit do gewurczet Und do			
erhube	unmatched	2		her mich erhube als irs			
peinigten	unmatched	2		sie sie peinigten vnd maurten			
drukten	unmatched	2		sie sie drukten dester mer			
Ey	ambiguous	2	lemma_104|lemma_1324	vnd sprach Ey wie ist			
fleuset	unmatched	2		die do fleuset mit milch			
fleusset	unmatched	2		die do fleusset von milch			
enhoren	unmatched	2		dir noch enhoren die rede			
czeichens	unmatched	2		des ersten czeichens so gelouben			
geschŏpfet	unmatched	2		wer hat geschŏpfet den stvmmen			
ppherr	unmatched	2		dicit Jeremia ppherr ჻ EXO			
gehŏrn	unmatched	2		got an gehŏrn Und dise			
czeichn	unmatched	2		der du czeichn tvn wirst			
spreu	unmatched	2		in furbas spreu zu machen			
maze	ambiguous	2	lemma_3913|lemma_3914	vnd die maze der czigel			
musik	unmatched	2		sie geen musik vnd dorumbe			
Sprev	unmatched	2		Also spricht Sprev gebe ł			
anstunden	unmatched	2		der werk anstunden sprech e			
recke	ambiguous	2	lemma_4824|lemma_4825	rute vnd recke dein hant			
beche	ambiguous	2	lemma_345|lemma_428	vber ire beche vnd brvnne			
steineinen	unmatched	2		als in steineinen Und es			
geslug	unmatched	2		die wasser geslug CAPITULUM UIII			
crŏten	unmatched	2		ende mit crŏten vnd quellen			
czihn	unmatched	2		sie werden czihn von dir			
geswolne	unmatched	2		swern vnd geswolne blasen in			
strewte	unmatched	2		hern Und strewte die in			
nichtesnichte	unmatched	2		das ir nichtesnichte wirt erscheinen			
gebeten	ambiguous	2	lemma_1961|lemma_1965|lemma_722	ouch ir gebeten Und alczu			
vorwustende	unmatched	2		der erden vorwustende alle dink			
grousame	unmatched	2		es wurden grousame vinsternuss in			
vorherte	unmatched	2		vnser herre vorherte das hercze			
erscheinest	unmatched	2		mir mer erscheinest so wirstu			
frvnde	unmatched	2		von seinem frvnde vnd ein			
erstgepurt	unmatched	2		Und alle erstgepurt des vihes			
selbben	unmatched	2		noch dem selbben siten sult			
vngesaurtes	unmatched	2		few̆er vnd vngesaurtes brot mit			
latich	unmatched	2		mit wilden latich Nicht werdet			
endlichn	unmatched	2		sult essen endlichn Wenne es			
czeychen	unmatched	2		in ein czeychen in ewern			
halten	ambiguous	2	lemma_1570|lemma_2629	huten vnd halten sult ir			
gesaurteigtes	unmatched	2		ewern heusern gesaurteigtes welcher gesauerteigtes			
gesauerteigtes	unmatched	2		gesaurteigtes welcher gesauerteigtes isset des			
tvnket	unmatched	2		gebundel ysops tvnket in das			
swellen	ambiguous	2	lemma_5954|lemma_5955	ouf der swellen vnd sprenget			
slahende	unmatched	2		heuser in slahende di vnd			
osterlammes	unmatched	2		dienst des osterlammes Ein yclicher			
vleischs	unmatched	2		tragen seines vleischs her ous			
entsleusset	unmatched	2		die do entsleusset den bouch			
gepotscheftet	unmatched	2		also Und gepotscheftet wart dem			
furtest	unmatched	2		vns ous furtest von Ist			
sen	ambiguous	2	lemma_5366|lemma_5397|lemma_5401	wis DUS sen wenne ich			
gegrŏset	unmatched	2		ist her gegrŏset das ros			
oufsteiger	unmatched	2		vnd den oufsteiger ł hat			
pouken	unmatched	2		hant ein pouken vnd ous			
sank	ambiguous	2	lemma_2192|lemma_5488	pouken den sank sie vor			
cloub	unmatched	2		volk vnd cloub alle tage			
Tretet	unmatched	2		aller samenunge Tretet vor vnsern			
nunge	unmatched	2		der wuste nunge Und secht			
lag	ambiguous	2	lemma_3565|lemma_3770	des morgens lag der taw			
vorvoulte	unmatched	2		wurme vnd vorvoulte Und czornig			
kochen	ambiguous	2	lemma_3390|lemma_3495	was zu kochen ist das			
corianders	unmatched	2		der same corianders vnd sein			
fulle	unmatched	2		vnser herre fulle die vas			
getrincket	unmatched	2		das volk getrincket Und tat			
siczest	unmatched	2		volke worumb siczest du alleine			
czeigest	unmatched	2		sprichet Und czeigest dem volke			
geraten	ambiguous	2	lemma_2148|lemma_4787	im hete geraten Und erwelte			
plicczen	unmatched	2		hŏrn vnd plicczen begonden erschĭnen			
vnnuczlich	unmatched	2		herren gotes vnnuczlich Wenne vnser			
heiligest	unmatched	2		heiligen tack heiligest Sechs tage			
Ere	ambiguous	2	lemma_1281|lemma_1282|lemma_25157|lemma_5454|lemma_57649	in geheiligt Ere vater vnd			
deube	unmatched	2		Nicht tu deube Nicht sprich			
ho	ambiguous	2	lemma_22402|lemma_2866	sprach tho ho bzde thoho			
vŏrchtet	unmatched	2		volke Nicht vŏrchtet euch Wenne			
hebist	unmatched	2		das du hebist dein messir			
koufest	unmatched	2		XXI CAPITULUM koufest einen hebraischen			
ŏre	unmatched	2		im sein ŏre mit ei			
ei	ambiguous	2	lemma_11821|lemma_1324|lemma_24470	ŏre mit ei W EXO			
vorbreutet	unmatched	2		seinem svne vorbreutet noch dem			
buse	unmatched	2		lebit der buse sol er			
heischet	unmatched	2		von im heischet vnd die			
blabslak	unmatched	2		vmb wunde blabslak vmb EXO			
hŏrnern	unmatched	2		mit den hŏrnern stŏset einen			
fen	unmatched	2		erwer DUS fen wer do			
grebt	unmatched	2		cistern oder grebt vnd bedecket			
crank	unmatched	2		oder wirt crank oder sich			
breutet	unmatched	2		wer do breutet mit einem			
vorblenden	unmatched	2		wenne gabe vorblenden ouch die			
ŏlgerten	unmatched	2		in deinen ŏlgerten Sechs tage			
coche	unmatched	2		gotis Nicht coche das cziklein			
fressende	unmatched	2		wachsen dorinne fressende wilt Meclichen			
halbeteil	unmatched	2		nam das halbeteil des blutes			
Alls	ambiguous	2	lemma_106|lemma_148	Die sprachen Alls das vnser			
sprengte	unmatched	2		blut vnd sprengte das in			
bedeckende	unmatched	2		wonhaft vber bedeckende den mit			
nebils	unmatched	2		mitte des nebils vnd steig			
thymiamischen	unmatched	2		salben vnd thymiamischen puluer czu			
stos	unmatched	2		golde vnd stos die durch			
gehemerte	unmatched	2		czwen guldeine gehemerte cherubin zu			
cronen	ambiguous	2	lemma_3480|lemma_3483	Under der cronen werden die			
rouchuas	unmatched	2		vnd trinkuas rouchuas vnd giskopfe			
kŏpfe	unmatched	2		seine stengel kŏpfe vnd ringel			
schafte	ambiguous	2	lemma_5153|lemma_5156	von dem schafte Aber an			
ringil	unmatched	2		Und die ringil dorumb vnd			
lucerne	ambiguous	2	lemma_11118|lemma_15569	ouch siben lucerne vnd secze			
schuret	unmatched	2		man abe schuret vorlesche sullen			
vorlesche	unmatched	2		abe schuret vorlesche sullen werden			
orlein	unmatched	2		hangen Iacinctische orlein oder slinglein			
slinglein	unmatched	2		orlein oder slinglein mache an			
Mach	ambiguous	2	lemma_3905|lemma_3917|lemma_4240	angehengen ł Mach ouch funfczig			
slingel	unmatched	2		ŏrl oder slingel an dem			
halbenteil	unmatched	2		Uon des halbenteil bedecke ł			
rotgeverbten	unmatched	2		vbirdecke von rotgeverbten widers heuten			
vorgulden	unmatched	2		tafeln saltu vorgulden vnd senke			
XXUII	unmatched	2		grunde erein XXUII Mache einen			
